player_name_futbin,position,card_id,season,link,player_id,dob,club_name_futbin,club_id_futbin,league,league_id,nation,rating,pac,acceleration,sprint_speed,sho,positioning,finishing,shot_power,long_shots,volleys,penalties,pas,vision,crossing,fk_accuracy,short_passing,long_passing,curve,dri,agility,balance,reactions,ball_control,dribbling,composure,def,interceptions,heading_acc,def_awareness,standing_tackle,sliding_tackle,phy,jumping,stamina,strength,aggression,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,fb_team,club_id,player_id_ustat,player_name_ustat,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,club_name_ustat,npg,npxG,xGChain,xGBuildup
Armando Broja,ST,36445,23,/23/player/36445/armando-broja,256268,10-09-2001,Chelsea,5,Premier League,13,Albania,75,76.0,69.0,81.0,74.0,76.0,77.0,80.0,61.0,64.0,74.0,54.0,58.0,40.0,36.0,65.0,47.0,53.0,75.0,64.0,63.0,74.0,76.0,78.0,73.0,29.0,20.0,69.0,23.0,31.0,23.0,76.0,63.0,72.0,83.0,67.0,NULL,NULL,NULL,NULL,NULL,NULL,Chelsea,20.0,8384.0,Armando Broja,12.0,266.0,1.0,0.8572464846074581,0.0,0.0866743996739387,6.0,1.0,0.0,0.0,F S,Chelsea,1.0,0.8572464846074581,0.8978355824947357,0.0
Luke Thomas,LB,36156,23,/23/player/36156/luke-thomas,254470,10-06-2001,Leicester City,95,Premier League,13,England,75,75.0,77.0,74.0,42.0,69.0,39.0,44.0,39.0,47.0,40.0,66.0,62.0,70.0,49.0,69.0,66.0,60.0,71.0,69.0,74.0,72.0,70.0,71.0,67.0,71.0,76.0,61.0,69.0,72.0,73.0,71.0,72.0,82.0,65.0,70.0,NULL,NULL,NULL,NULL,NULL,NULL,Leicester City,46.0,8562.0,Luke Thomas,17.0,1064.0,0.0,0.0825991313904523,0.0,0.5999135356396437,3.0,4.0,3.0,0.0,D S,Leicester,0.0,0.0825991313904523,3.165864273905754,2.783756129443645
Brennan Johnson,RW,35634,23,/23/player/35634/brennan-johnson,251421,23-05-2001,Nott'm Forest,14,Premier League,13,Wales,75,88.0,87.0,89.0,72.0,68.0,76.0,70.0,67.0,68.0,67.0,67.0,71.0,72.0,43.0,67.0,63.0,64.0,76.0,88.0,66.0,65.0,74.0,78.0,70.0,41.0,23.0,58.0,41.0,42.0,53.0,57.0,40.0,78.0,52.0,48.0,NULL,NULL,NULL,NULL,NULL,NULL,Nott'm Forest,57.0,10760.0,Brennan Johnson,38.0,2952.0,8.0,8.266518421471119,3.0,3.7432961594313374,55.0,28.0,6.0,0.0,F M S,Nottingham Forest,7.0,5.983012191951275,12.170722473412752,2.8007613457739358
Aaron Hickey,LWB,35433,23,/23/player/35433/aaron-hickey,248808,10-06-2002,Brentford,1925,Premier League,13,Scotland,75,77.0,79.0,75.0,55.0,59.0,48.0,64.0,61.0,56.0,48.0,69.0,67.0,72.0,40.0,73.0,69.0,62.0,73.0,74.0,64.0,69.0,75.0,74.0,72.0,70.0,67.0,62.0,70.0,74.0,73.0,58.0,64.0,81.0,51.0,47.0,NULL,NULL,NULL,NULL,NULL,NULL,Brentford,16.0,8942.0,Aaron Hickey,26.0,1958.0,0.0,0.3167129307985306,1.0,0.6221226900815964,11.0,6.0,7.0,0.0,D S,Brentford,0.0,0.3167129307985306,2.5498968306928878,2.0008020736277103
Bryan Mbeumo,RW,34330,23,/23/player/34330/bryan-mbeumo,243014,07-08-1999,Brentford,1925,Premier League,13,Cameroon,75,81.0,84.0,78.0,73.0,77.0,71.0,78.0,73.0,77.0,72.0,70.0,71.0,72.0,68.0,72.0,64.0,73.0,76.0,87.0,75.0,74.0,75.0,76.0,66.0,41.0,40.0,56.0,39.0,41.0,37.0,71.0,68.0,77.0,69.0,68.0,NULL,NULL,NULL,NULL,NULL,NULL,Brentford,16.0,6552.0,Bryan Mbeumo,38.0,2991.0,9.0,10.100785619579256,8.0,7.65799580514431,71.0,52.0,5.0,0.0,F S,Brentford,8.0,9.339616828598082,17.531262825243175,5.165040111169219
Tariq Lamptey,RWB,34211,23,/23/player/34211/tariq-lamptey,242418,30-09-2000,Brighton,1808,Premier League,13,Ghana,75,87.0,92.0,83.0,44.0,55.0,47.0,48.0,36.0,32.0,40.0,66.0,59.0,76.0,35.0,71.0,62.0,60.0,76.0,85.0,95.0,71.0,70.0,77.0,73.0,70.0,71.0,58.0,70.0,72.0,74.0,49.0,63.0,63.0,31.0,75.0,NULL,NULL,NULL,NULL,NULL,NULL,Brighton,17.0,8226.0,Tariq Lamptey,20.0,414.0,0.0,0.2084955014288425,0.0,0.1961832959204912,5.0,4.0,1.0,0.0,D S,Brighton,0.0,0.2084955014288425,2.6817909218370914,2.4700611047446728
Albert Sambi Lokonga,CM,34087,23,/23/player/34087/albert-sambi-lokonga,241928,22-10-1999,Arsenal,1,Premier League,13,Belgium,75,66.0,63.0,69.0,58.0,65.0,53.0,68.0,63.0,58.0,41.0,75.0,75.0,68.0,68.0,79.0,77.0,71.0,78.0,78.0,68.0,72.0,81.0,78.0,80.0,69.0,77.0,61.0,64.0,73.0,68.0,69.0,71.0,79.0,63.0,72.0,NULL,NULL,NULL,NULL,NULL,NULL,Arsenal,9.0,9689.0,Albert Sambi Lokonga,15.0,732.0,0.0,0.1307045519351959,0.0,0.0456785000860691,2.0,2.0,2.0,0.0,M S,Arsenal,0.0,0.1307045519351959,0.7480293493717909,0.6000321935862303
Junior Firpo,LB,33949,23,/23/player/33949/junior-firpo,241184,22-08-1996,Leeds United,8,Premier League,13,Spain,75,75.0,74.0,76.0,62.0,72.0,62.0,68.0,59.0,55.0,42.0,70.0,64.0,76.0,43.0,74.0,68.0,65.0,71.0,62.0,60.0,72.0,72.0,74.0,70.0,72.0,74.0,71.0,67.0,74.0,73.0,75.0,72.0,77.0,74.0,76.0,NULL,NULL,NULL,NULL,NULL,NULL,Leeds United,45.0,6485.0,Júnior Firpo,19.0,1364.0,1.0,0.1414232105016708,1.0,0.9512499049305916,2.0,8.0,6.0,1.0,D S,Leeds,1.0,0.1414232105016708,2.4669921696186066,2.0024135522544384
Ethan Pinnock,CB,33472,23,/23/player/33472/ethan-pinnock,238717,29-05-1993,Brentford,1925,Premier League,13,Jamaica,75,67.0,64.0,69.0,37.0,39.0,33.0,53.0,31.0,33.0,44.0,57.0,58.0,42.0,37.0,66.0,65.0,40.0,61.0,54.0,53.0,73.0,63.0,60.0,71.0,76.0,76.0,76.0,75.0,76.0,74.0,79.0,80.0,69.0,83.0,80.0,NULL,NULL,NULL,NULL,NULL,NULL,Brentford,16.0,9678.0,Ethan Pinnock,30.0,2700.0,3.0,3.5859055295586586,0.0,0.6192105077207088,15.0,8.0,0.0,0.0,D,Brentford,3.0,3.5859055295586586,5.026158023625612,4.340199567377567
Joseph Willock,CM,33262,23,/23/player/33262/joseph-willock,237329,20-08-1999,Newcastle Utd,13,Premier League,13,England,75,76.0,75.0,76.0,72.0,77.0,75.0,73.0,66.0,66.0,62.0,69.0,73.0,60.0,46.0,77.0,69.0,64.0,77.0,77.0,72.0,78.0,77.0,79.0,72.0,67.0,70.0,68.0,64.0,70.0,59.0,70.0,67.0,78.0,66.0,70.0,NULL,NULL,NULL,NULL,NULL,NULL,Newcastle Utd,56.0,6630.0,Joe Willock,35.0,2634.0,3.0,7.266156509518623,6.0,7.388796498999,58.0,40.0,1.0,0.0,M S,Newcastle United,3.0,7.266156509518623,17.781154207885265,5.481370575726032
Morgan Gibbs-White,CAM,33025,23,/23/player/33025/morgan-gibbs-white,236015,27-01-2000,Nott'm Forest,14,Premier League,13,England,75,76.0,77.0,75.0,70.0,72.0,69.0,74.0,71.0,59.0,58.0,73.0,76.0,67.0,65.0,75.0,74.0,67.0,76.0,81.0,75.0,73.0,75.0,77.0,74.0,57.0,58.0,58.0,57.0,57.0,56.0,66.0,58.0,71.0,66.0,62.0,NULL,NULL,NULL,NULL,NULL,NULL,Nott'm Forest,57.0,6857.0,Morgan Gibbs-White,37.0,3170.0,5.0,6.6556903049349785,8.0,7.807910647243261,62.0,67.0,6.0,0.0,F M S,Nottingham Forest,3.0,5.133352592587471,13.668892225250602,4.559631913900375
Ryan Sessegnon,LWB,32998,23,/23/player/32998/ryan-sessegnon,235883,18-05-2000,Spurs,18,Premier League,13,England,75,82.0,84.0,80.0,65.0,76.0,68.0,67.0,55.0,55.0,61.0,72.0,74.0,77.0,31.0,76.0,65.0,71.0,77.0,79.0,78.0,73.0,78.0,76.0,76.0,68.0,68.0,55.0,69.0,71.0,64.0,66.0,66.0,76.0,60.0,67.0,NULL,NULL,NULL,NULL,NULL,NULL,Spurs,80.0,6837.0,Ryan Sessegnon,17.0,810.0,2.0,2.117515377700329,0.0,1.040791004896164,18.0,6.0,4.0,0.0,D S,Tottenham,2.0,2.117515377700329,4.331894390285015,2.0439960788935423
Yoane Wissa,LW,32810,23,/23/player/32810/yoane-wissa,234824,03-09-1996,Brentford,1925,Premier League,13,Congo DR,75,86.0,85.0,87.0,74.0,75.0,76.0,75.0,72.0,70.0,71.0,65.0,68.0,71.0,53.0,65.0,60.0,56.0,76.0,82.0,73.0,70.0,76.0,77.0,73.0,28.0,31.0,58.0,25.0,23.0,18.0,68.0,76.0,71.0,68.0,61.0,NULL,NULL,NULL,NULL,NULL,NULL,Brentford,16.0,5786.0,Yoane Wissa,38.0,1583.0,7.0,5.207585535943508,3.0,2.6399280801415443,32.0,13.0,3.0,0.0,F S,Brentford,7.0,5.207585535943508,11.27296715322882,4.301408238708973
Orel Mangala,CM,32692,23,/23/player/32692/orel-mangala,234078,18-03-1998,Nott'm Forest,14,Premier League,13,Belgium,75,64.0,76.0,55.0,54.0,64.0,43.0,66.0,68.0,50.0,42.0,71.0,76.0,61.0,50.0,78.0,73.0,65.0,82.0,79.0,85.0,78.0,82.0,83.0,80.0,70.0,72.0,51.0,76.0,70.0,70.0,72.0,67.0,77.0,70.0,71.0,NULL,NULL,NULL,NULL,NULL,NULL,Nott'm Forest,57.0,6088.0,Orel Mangala,27.0,1581.0,1.0,0.3729460705071687,1.0,0.4247147068381309,9.0,3.0,3.0,0.0,M S,Nottingham Forest,1.0,0.3729460705071687,3.288042457774281,2.5542810540646315
Joe Aribo,CM,32256,23,/23/player/32256/joe-aribo,231044,21-07-1996,Southampton,17,Premier League,13,Nigeria,75,80.0,79.0,80.0,68.0,72.0,67.0,73.0,67.0,63.0,66.0,72.0,76.0,66.0,59.0,76.0,72.0,68.0,78.0,82.0,79.0,72.0,77.0,78.0,75.0,68.0,69.0,65.0,64.0,72.0,70.0,76.0,73.0,84.0,76.0,69.0,NULL,NULL,NULL,NULL,NULL,NULL,Southampton,79.0,10766.0,Joe Ayodele-Aribo,21.0,1224.0,2.0,2.054455615580082,0.0,0.9876715950667858,14.0,9.0,2.0,0.0,F M S,Southampton,2.0,2.054455615580082,3.790229113772512,0.947960801422596
Tom Davies,CM,32165,23,/23/player/32165/tom-davies,230005,30-06-1998,Everton,7,Premier League,13,England,75,65.0,66.0,64.0,64.0,69.0,64.0,70.0,67.0,42.0,49.0,73.0,76.0,66.0,61.0,79.0,74.0,64.0,75.0,63.0,69.0,74.0,77.0,76.0,76.0,69.0,69.0,61.0,68.0,73.0,69.0,70.0,56.0,73.0,65.0,84.0,NULL,NULL,NULL,NULL,NULL,NULL,Everton,27.0,1042.0,Tom Davies,19.0,500.0,0.0,1.3129857713356614,0.0,0.1336751990020275,9.0,2.0,3.0,0.0,M S,Everton,0.0,1.3129857713356614,1.913279263302684,0.6038602907210588
Dominic Solanke,ST,31603,23,/23/player/31603/dominic-solanke,225539,14-09-1997,AFC Bournemouth,1943,Premier League,13,England,75,71.0,64.0,77.0,74.0,75.0,76.0,75.0,69.0,74.0,72.0,64.0,71.0,54.0,47.0,72.0,59.0,56.0,73.0,64.0,67.0,74.0,75.0,75.0,73.0,28.0,22.0,74.0,21.0,25.0,22.0,78.0,77.0,87.0,79.0,65.0,NULL,NULL,NULL,NULL,NULL,NULL,AFC Bournemouth,6.0,1679.0,Dominic Solanke,33.0,2874.0,6.0,9.317674346268175,7.0,3.957623152993619,76.0,21.0,2.0,0.0,F M S,Bournemouth,6.0,9.317674346268175,14.145027499645948,3.0667414711788297
Mason Holgate,CB,31525,23,/23/player/31525/mason-holgate,225024,22-10-1996,Everton,7,Premier League,13,England,75,71.0,68.0,74.0,43.0,52.0,37.0,55.0,42.0,40.0,40.0,68.0,63.0,67.0,35.0,76.0,76.0,53.0,68.0,67.0,64.0,72.0,70.0,67.0,70.0,76.0,76.0,75.0,74.0,77.0,75.0,76.0,76.0,73.0,75.0,81.0,NULL,NULL,NULL,NULL,NULL,NULL,Everton,27.0,985.0,Mason Holgate,8.0,505.0,0.0,0.9284062683582306,0.0,0.3237291630357504,4.0,6.0,1.0,1.0,D S,Everton,0.0,0.9284062683582306,1.3223813269287348,1.0586145222187042
Rico Henry,LWB,31445,23,/23/player/31445/rico-henry,224494,08-07-1997,Brentford,1925,Premier League,13,England,75,90.0,91.0,89.0,40.0,65.0,40.0,43.0,34.0,33.0,43.0,59.0,52.0,66.0,39.0,67.0,50.0,48.0,74.0,89.0,90.0,73.0,74.0,69.0,65.0,70.0,72.0,48.0,72.0,73.0,71.0,72.0,92.0,80.0,65.0,76.0,NULL,NULL,NULL,NULL,NULL,NULL,Brentford,16.0,9679.0,Rico Henry,37.0,3260.0,0.0,1.945255502127111,2.0,3.062078721821308,22.0,23.0,4.0,0.0,D,Brentford,0.0,1.945255502127111,9.57805674150586,5.399344060570002
Kristoffer Ajer,CB,31394,23,/23/player/31394/kristoffer-ajer,224258,17-04-1998,Brentford,1925,Premier League,13,Norway,75,72.0,63.0,79.0,56.0,54.0,58.0,64.0,47.0,41.0,49.0,61.0,50.0,58.0,42.0,71.0,64.0,58.0,70.0,52.0,46.0,67.0,74.0,73.0,75.0,75.0,73.0,74.0,74.0,76.0,76.0,81.0,56.0,70.0,90.0,80.0,NULL,NULL,NULL,NULL,NULL,NULL,Brentford,16.0,9677.0,Kristoffer Ajer,9.0,781.0,0.0,0.023081500083208,0.0,0.0165113992989063,1.0,1.0,0.0,0.0,D,Brentford,0.0,0.023081500083208,1.5337861999869349,1.5337861999869349
Joelinton,CM,31275,23,/23/player/31275/joelinton,223334,14-08-1996,Newcastle Utd,13,Premier League,13,Brazil,75,76.0,74.0,77.0,67.0,74.0,65.0,81.0,60.0,59.0,61.0,66.0,77.0,41.0,38.0,78.0,70.0,52.0,76.0,66.0,68.0,77.0,76.0,80.0,74.0,67.0,65.0,78.0,63.0,70.0,61.0,84.0,79.0,86.0,84.0,83.0,NULL,NULL,NULL,NULL,NULL,NULL,Newcastle Utd,56.0,87.0,Joelinton,32.0,2677.0,6.0,6.252544686198235,1.0,3.116438364610076,51.0,26.0,12.0,0.0,F M S,Newcastle United,6.0,6.252544686198235,12.307858122512698,7.0922601986676455
Marek Rodák,GK,31218,23,/23/player/31218/marek-rodak,222951,13-12-1996,Fulham,144,Premier League,13,Slovakia,75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,76.0,71.0,73.0,76.0,48.0,43.0,Fulham,36.0,8704.0,Marek Rodák,2.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,Fulham,0.0,0.0,0.0,0.0
Tosin Adarabioyo,CB,31083,23,/23/player/31083/tosin-adarabioyo,222104,24-09-1997,Fulham,144,Premier League,13,England,75,72.0,66.0,76.0,31.0,28.0,30.0,36.0,28.0,25.0,35.0,57.0,51.0,38.0,22.0,73.0,71.0,30.0,58.0,53.0,53.0,71.0,66.0,50.0,76.0,75.0,74.0,71.0,75.0,77.0,74.0,77.0,77.0,68.0,82.0,75.0,NULL,NULL,NULL,NULL,NULL,NULL,Fulham,36.0,5590.0,Tosin Adarabioyo,25.0,2081.0,1.0,0.5782807385548949,0.0,0.2267771176993847,17.0,6.0,4.0,0.0,D S,Fulham,1.0,0.5782807385548949,3.626173667609692,3.482117474079132
Philip Billing,CM,30910,23,/23/player/30910/philip-billing,220714,11-06-1996,AFC Bournemouth,1943,Premier League,13,Denmark,75,58.0,51.0,63.0,71.0,73.0,67.0,84.0,73.0,68.0,52.0,71.0,71.0,62.0,68.0,76.0,74.0,74.0,72.0,54.0,49.0,76.0,76.0,74.0,75.0,72.0,74.0,73.0,70.0,74.0,70.0,79.0,61.0,81.0,80.0,76.0,NULL,NULL,NULL,NULL,NULL,NULL,AFC Bournemouth,6.0,6034.0,Philip Billing,36.0,2822.0,7.0,4.894198485650122,1.0,3.457261343486607,38.0,27.0,5.0,0.0,F M S,Bournemouth,7.0,4.894198485650122,9.995119906961918,3.561682090163231
Jefferson Lerma,CDM,30381,23,/23/player/30381/jefferson-lerma,213991,25-10-1994,AFC Bournemouth,1943,Premier League,13,Colombia,75,70.0,68.0,71.0,64.0,59.0,56.0,79.0,73.0,56.0,58.0,69.0,64.0,66.0,65.0,75.0,70.0,66.0,72.0,70.0,76.0,71.0,74.0,70.0,73.0,72.0,72.0,65.0,73.0,73.0,75.0,81.0,87.0,81.0,77.0,88.0,NULL,NULL,NULL,NULL,NULL,NULL,AFC Bournemouth,6.0,2182.0,Jefferson Lerma,37.0,3263.0,5.0,3.1550366831943397,0.0,2.628147560171783,35.0,18.0,7.0,0.0,D M,Bournemouth,5.0,3.1550366831943397,7.719455648213625,5.278287973254919
Alex Iwobi,RM,30333,23,/23/player/30333/alex-iwobi,213655,03-05-1996,Everton,7,Premier League,13,Nigeria,75,74.0,73.0,75.0,64.0,74.0,63.0,72.0,62.0,51.0,59.0,72.0,75.0,72.0,40.0,77.0,65.0,70.0,78.0,77.0,75.0,74.0,78.0,80.0,73.0,38.0,35.0,44.0,38.0,41.0,31.0,65.0,47.0,65.0,72.0,54.0,NULL,NULL,NULL,NULL,NULL,NULL,Everton,27.0,500.0,Alex Iwobi,38.0,3388.0,2.0,2.7482709400355816,7.0,6.127815451472998,42.0,64.0,2.0,0.0,F M,Everton,2.0,2.7482709400355816,13.531792795285584,7.712628765031695
Danny Ward,GK,29755,23,/23/player/29755/danny-ward,207998,22-06-1993,Leicester City,95,Premier League,13,Wales,75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,75.0,73.0,67.0,76.0,45.0,44.0,Leicester City,46.0,473.0,Danny Ward,26.0,2340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,Leicester,0.0,0.0,2.5759871751070023,2.5759871751070023
Robin Olsen,GK,29704,23,/23/player/29704/robin-olsen,207557,08-01-1990,Aston Villa,2,Premier League,13,Sweden,75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,76.0,74.0,78.0,75.0,35.0,40.0,Aston Villa,11.0,6962.0,Robin Olsen,4.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK S,Aston Villa,0.0,0.0,0.0297717992216348,0.0297717992216348
Solly March,LWB,29682,23,/23/player/29682/solly-march,206594,20-07-1994,Brighton,1808,Premier League,13,England,75,73.0,75.0,72.0,67.0,74.0,64.0,74.0,72.0,56.0,55.0,74.0,74.0,79.0,64.0,75.0,67.0,74.0,77.0,73.0,77.0,73.0,76.0,79.0,76.0,67.0,67.0,48.0,69.0,72.0,67.0,62.0,46.0,75.0,60.0,55.0,NULL,NULL,NULL,NULL,NULL,NULL,Brighton,17.0,6049.0,Solly March,33.0,2745.0,6.0,8.069857582449913,7.0,9.567008880898356,73.0,65.0,2.0,0.0,D M S,Brighton,6.0,8.069857582449913,22.130394473671917,9.125229258090258
